OBJECTID,SoilKey,HorizonKey,HorizonDepthUpper,DepthMeasure,Texture,RockFragments,Effer,HorizonColorDry,HorizonColorMoist,StructGrade,StructShape,unused,Nomenclature,HorizonDepthLower,ESD_Horizon,ESD_HorizonModifier,ESD_FragVolPct,ESD_FragmentType,ESD_PetrocalcicRubble,ESD_Gypsic,ESD_PctClay,ESD_Hue,ESD_Value,ESD_Chroma,ESD_Color,ESD_Grade,ESD_Size,ESD_Structure,ESD_StructQual,ESD_Grade2,ESD_Size2,ESD_Structure2,ESD_RuptureResistance,ESD_ClayFilm,ESD_CarbonateStage,ESD_CaCO3EquivPct,ESD_EC,ESD_pH,ESD_GypsumPct,ESD_NAabsorptionRatio,ESD_Notes,ESD_PSAPctSand,ESD_PSAPctSilt,ESD_PSAPctClay,ESD_GravelClassPctFine,ESD_GravelClassPctMed,ESD_GravelClassPctCoarse,ESD_GravelCarbonateCoatPct,ESD_FragmentRoundness,ESD_RootSize,ESD_RootQty,ESD_PoresSize,ESD_PoresQty,ESD_SandFractPctVeryFine,ESD_SandFractPctFine,ESD_SandFractPctMed,ESD_SandFractPctCoarse,ESD_SandFractPctVeryCoarse,ESD_FragVolPct2,ESD_FragmentType2,ESD_FragVolPct3,ESD_FragmentType3,ESD_PctSand,ESD_LabGravelPctFine,ESD_LabGravelPctMed,ESD_LabGravelPctCoarse,DateLoadedInDb,PrimaryKey,DBKey,GlobalID
158609,1809251327321072,1809251337192014,10.000000000000000,cm,SC,0.000000000000000,VE,,,,,,,33.000000000000000,,,0,1,0,0,37.000000000000000,10YR,5,8.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807121251101692018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{D88D7C42-EDE5-4BC5-8E99-0FA859E52C9A}
158610,1809251327321072,1809251338209487,33.000000000000000,cm,CL,6.000000000000000,VE,,,,,,,70.000000000000000,,,6,1,0,0,38.000000000000000,10YR,6,6.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807121251101692018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{EE48DBB8-240C-4F92-9730-AC394BF848DB}
158611,1809251510598505,1809251515078865,60.000000000000000,cm,L,1.000000000000000,NE,,,,,,,70.000000000000000,,,1,1,0,0,15.000000000000000,7.5YR,3,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18092514421034622018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{BCD07169-8604-410A-BE9B-1BF18200E574}
158612,1809251510598505,1809251517499872,39.000000000000000,cm,,0.000000000000000,NE,,,,,,,60.000000000000000,,,0,1,0,0,,2.5Y,2,0.000000000000000,Moist,,,ABK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18092514421034622018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{0A6EF678-89F3-4561-838C-6CCDF59AF4C8}
158613,1809251510598505,1809251518492178,23.000000000000000,cm,SICL,1.000000000000000,VS,,,,,,,39.000000000000000,,,1,1,0,0,34.000000000000000,2.5Y,4,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18092514421034622018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{90B4B49E-888F-4587-9D7C-41E35D0C49D8}
158614,1809251510598505,1809251520131098,5.000000000000000,cm,SIL,6.000000000000000,SL,,,,,,,23.000000000000000,,,6,1,0,0,16.000000000000000,2.5Y,5,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18092514421034622018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{15265EB9-42A8-4D16-B866-D28AE25D15F0}
158615,1809251510598505,180925152130981,0.000000000000000,cm,L,7.000000000000000,SL,,,,,,,5.000000000000000,,,7,1,0,0,18.000000000000000,2.5Y,4,4.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18092514421034622018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{947CAEE4-D730-43F9-AB47-8EDABA3BA3A2}
158616,1809271210144657,1809271212449255,0.000000000000000,cm,,0.000000000000000,NE,,,,,,,7.000000000000000,,,,,0,0,,10YR,2,1.000000000000000,Moist,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1808071324547432018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4503F723-5519-4AD9-B580-40760920AC3F}
158617,1809271210144657,180927121251560,7.000000000000000,cm,L,21.000000000000000,NE,,,,,,,14.000000000000000,,,21,1,0,0,8.000000000000000,10YR,2,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1808071324547432018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{CC96DE58-36E3-49C3-8486-CFDDE95C5AD8}
158618,1809271210144657,1809271212563560,14.000000000000000,cm,L,56.000000000000000,NE,,,,,,,33.000000000000000,,,56,1,0,0,9.000000000000000,10YR,3,3.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1808071324547432018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{6F7D2325-3EBE-42BF-85B9-26225F3FF70B}
158619,1809271210144657,1809271213034703,33.000000000000000,cm,SL,74.000000000000000,NE,,,,,,,70.000000000000000,,,74,1,0,0,7.000000000000000,10YR,4,4.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1808071324547432018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{8580FFAF-CD88-42CA-B01A-30A8376F2C0D}
158620,1810010933112994,1810010934419632,0.000000000000000,cm,SIL,14.000000000000000,ST,,,,,,,6.000000000000000,,,14,1,0,0,27.000000000000000,7.5YR,5,2.000000000000000,Moist,,,GR,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072408390648502018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{4AFD0448-55D4-4454-8E9C-90E5874EFEC2}
158621,1810010933112994,1810010935365395,6.000000000000000,cm,SICL,63.000000000000000,ST,,,,,,,28.000000000000000,,,63,1,0,0,32.000000000000000,7.5YR,5,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,18072408390648502018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{80620B4A-7C77-4BCE-B3A6-733512BC79B6}
158622,1810010933112994,1810010939117601,28.000000000000000,cm,SICL,65.000000000000000,VE,,,,,,,55.000000000000000,,,20,1,0,0,32.000000000000000,10YR,4,2.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,45,2,,,,,,,2018-09-01,18072408390648502018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{B90D827D-225F-45F7-A885-6E0C0C857635}
158623,1810011000539527,1810011005112240,0.000000000000000,cm,SIL,59.000000000000000,VE,,,,,,,11.000000000000000,,,56,1,0,0,17.000000000000000,7.5YR,4,2.000000000000000,Moist,,,PL,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,2018-09-01,1807230903411932018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{5B5E5584-565A-40AB-B3C8-15D68451CCF6}
158624,1810011000539527,1810011006355169,11.000000000000000,cm,SIL,33.000000000000000,ST,,,,,,,21.000000000000000,,,33,1,0,0,20.000000000000000,7.5YR,4,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807230903411932018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{7818C14A-8A56-4111-8C70-C35F034B4899}
158625,1810011000539527,1810011007404891,21.000000000000000,cm,SIL,12.000000000000000,VE,,,,,,,47.000000000000000,,,12,1,0,0,18.000000000000000,10YR,5,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807230903411932018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{C06AF9FD-F707-4371-85FC-2B4A8832391C}
158626,1810011000539527,181001100919974,47.000000000000000,cm,SIL,52.000000000000000,VE,,,,,,,70.000000000000000,,,52,1,0,0,16.000000000000000,10YR,6,4.000000000000000,Moist,,,SBK,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01,1807230903411932018-09-01,CO_UncompahgreFO_LUP_2018_5-3b_02.mdb,{D466954C-CD3E-48D4-89BB-6768D628B7AE}
